classes,cohesion,coupling,fitness
14,7.0,4.0,3.0
18,7.0,4.0,3.0
18,7.0,4.0,3.0
11,6.666666666666667,3.6666666666666665,3.0000000000000004
11,6.666666666666667,3.6666666666666665,3.0000000000000004
11,6.666666666666667,3.6666666666666665,3.0000000000000004
11,6.666666666666667,3.666666666666666,3.000000000000001
11,6.666666666666667,3.666666666666666,3.000000000000001
11,6.666666666666667,3.666666666666666,3.000000000000001
11,6.666666666666667,3.666666666666666,3.000000000000001
8,6.666666666666667,3.666666666666666,3.000000000000001
