classes,cohesion,coupling,fitness
160,42.0,105.3333333333333,-63.3333333333333
160,42.0,105.33333333333329,-63.333333333333286
160,42.0,105.33333333333329,-63.333333333333286
160,42.0,105.33333333333329,-63.333333333333286
160,42.0,105.33333333333329,-63.333333333333286
160,42.0,105.33333333333329,-63.333333333333286
160,42.0,105.33333333333329,-63.333333333333286
157,42.0,105.33333333333327,-63.33333333333327
157,42.0,105.33333333333327,-63.33333333333327
157,42.0,105.33333333333327,-63.33333333333327
83,42.0,105.33333333333327,-63.33333333333327
